workload,round,estimator,point_estimate_ns,lower_bound_ns,upper_bound_ns
dispatch/mutex_mpsc_dequeue_independent_100_workers_1,v0.5.0-r2,slope,60404.555,59845.701,61019.904
dispatch/mutex_mpsc_dequeue_independent_100_workers_1,v0.5.0-r3,slope,55221.144,54779.138,55666.995
dispatch/mutex_mpsc_dequeue_independent_100_workers_8,v0.5.0-r1,slope,69554.152,69097.674,70126.993
dispatch/mutex_mpsc_dequeue_independent_100_workers_8,v0.5.0-r2,slope,60761.528,60430.174,61141.9
dispatch/mutex_mpsc_dequeue_independent_100_workers_8,v0.5.0-r3,slope,66480.169,66134.034,66914.94
graph_build/chain_100,v0.5.0-r1,slope,160671.627,158439.95,163208.795
graph_build/chain_100,v0.5.0-r2,slope,147374.98,145335.544,149501.614
graph_build/chain_100,v0.5.0-r3,slope,138966.512,132984.42,146555.717
graph_build/chain_1000,v0.5.0-r1,slope,2424061.376,2387108.505,2471884.447
graph_build/chain_1000,v0.5.0-r2,slope,2369887.121,2342861.002,2401810.833
graph_build/chain_1000,v0.5.0-r3,slope,2167620.979,2143574.512,2197039.485
graph_build/chain_10000,v0.5.0-r1,mean,107782553,106629840.685,109016968.66
graph_build/chain_10000,v0.5.0-r2,mean,106118982,105142679.475,107128992.2
graph_build/chain_10000,v0.5.0-r3,mean,98855554,98069563.71,99636597.64
graph_build/collect_into_100,v0.5.0-r1,slope,11555.156,10632.009,12336.339
graph_build/collect_into_100,v0.5.0-r2,slope,11031.482,10100.503,11874.185
graph_build/collect_into_100,v0.5.0-r3,slope,7441.265,7039.584,7777.24
graph_build/connect_nodes_100_pairs,v0.5.0-r1,slope,54182.171,51183.138,57311.946
graph_build/connect_nodes_100_pairs,v0.5.0-r2,slope,53539.158,50877.216,56180.942
graph_build/connect_nodes_100_pairs,v0.5.0-r3,slope,46036,44051.599,48258.261
graph_build/fan_out_fan_in_100,v0.5.0-r1,slope,112083.907,110909.269,113272.381
graph_build/fan_out_fan_in_100,v0.5.0-r2,slope,111642.548,110320.526,113005.286
graph_build/fan_out_fan_in_100,v0.5.0-r3,slope,98815.551,98276.136,99418.335
graph_build/replace_schema_100_nodes_2_incident_edges,v0.5.0-r1,slope,1267.269,1187.633,1343.369
graph_build/replace_schema_100_nodes_2_incident_edges,v0.5.0-r2,slope,1240.949,1174.954,1300.217
graph_build/replace_schema_100_nodes_2_incident_edges,v0.5.0-r3,slope,1119.461,1041.963,1189.857
runtime_async/local_fresh_mixed_80_sync_20_async_100,v0.5.0-r1,slope,60778.94,60037.39,61562.322
runtime_async/local_fresh_mixed_80_sync_20_async_100,v0.5.0-r2,slope,61156.734,59359.012,63260.413
runtime_async/local_fresh_mixed_80_sync_20_async_100,v0.5.0-r3,slope,84323.858,81789.924,86613.95
runtime_async/local_fresh_pending_once_100,v0.5.0-r1,slope,78230.94,77351.182,79150.05
runtime_async/local_fresh_pending_once_100,v0.5.0-r2,slope,63973.674,63842.034,64133.739
runtime_async/local_fresh_pending_once_100,v0.5.0-r3,slope,87099.316,86512.654,87857.474
runtime_async/local_fresh_ready_100,v0.5.0-r1,slope,61769.515,61111.975,62468.085
runtime_async/local_fresh_ready_100,v0.5.0-r2,slope,58830.293,58154.316,59544.563
runtime_async/local_fresh_ready_100,v0.5.0-r3,slope,76213.827,75982.657,76457.86
runtime_async/local_fresh_wake_storm_independent_100,v0.5.0-r1,slope,39223.895,38850.203,39626.814
runtime_async/local_fresh_wake_storm_independent_100,v0.5.0-r2,slope,38651.059,37500.068,40015.521
runtime_async/local_fresh_wake_storm_independent_100,v0.5.0-r3,slope,48357.446,48147.816,48600.033
runtime_async/local_reusable_mixed_80_sync_20_async_100,v0.5.0-r1,slope,54122.003,53476.922,54794.506
runtime_async/local_reusable_mixed_80_sync_20_async_100,v0.5.0-r2,slope,53323.656,51974.871,54787.572
runtime_async/local_reusable_mixed_80_sync_20_async_100,v0.5.0-r3,slope,75780.772,74404.756,77484.323
runtime_async/local_reusable_pending_once_100,v0.5.0-r1,slope,67581.829,66589.368,68686.113
runtime_async/local_reusable_pending_once_100,v0.5.0-r2,slope,60885.175,59296.118,62350.95
runtime_async/local_reusable_pending_once_100,v0.5.0-r3,slope,83511.243,82654.179,84573.763
runtime_async/local_reusable_ready_100,v0.5.0-r1,slope,54112.295,53380.435,54928.73
runtime_async/local_reusable_ready_100,v0.5.0-r2,slope,46875.511,46360.037,47612.926
runtime_async/local_reusable_ready_100,v0.5.0-r3,slope,69727.356,69439.129,70065.189
runtime_async/local_reusable_wake_storm_independent_100,v0.5.0-r1,slope,34656.048,34035.115,35434.443
runtime_async/local_reusable_wake_storm_independent_100,v0.5.0-r2,slope,30605.349,30522.323,30700.153
runtime_async/local_reusable_wake_storm_independent_100,v0.5.0-r3,slope,43984.337,43751.264,44230.491
runtime_async/send_fresh_mixed_80_sync_20_async_100,v0.5.0-r1,slope,61402.318,60472.858,62631.918
runtime_async/send_fresh_mixed_80_sync_20_async_100,v0.5.0-r2,slope,59772.684,58795.988,60797.433
runtime_async/send_fresh_mixed_80_sync_20_async_100,v0.5.0-r3,slope,78894.419,78579.866,79213.584
runtime_async/send_fresh_pending_once_100,v0.5.0-r1,slope,74730.488,73831.295,75806.849
runtime_async/send_fresh_pending_once_100,v0.5.0-r2,slope,65542.266,65022.441,66237.458
runtime_async/send_fresh_pending_once_100,v0.5.0-r3,slope,91555.819,90912.206,92354.131
runtime_async/send_fresh_ready_100,v0.5.0-r1,slope,60955.29,60222.774,61691.605
runtime_async/send_fresh_ready_100,v0.5.0-r2,slope,52831.229,52719.549,52965.425
runtime_async/send_fresh_ready_100,v0.5.0-r3,slope,75617.562,75300.014,75975.041
runtime_async/send_fresh_wake_storm_independent_100,v0.5.0-r1,slope,39424.93,38935.591,39975.76
runtime_async/send_fresh_wake_storm_independent_100,v0.5.0-r2,slope,37214.596,36701.782,37761.869
runtime_async/send_fresh_wake_storm_independent_100,v0.5.0-r3,slope,50934.206,50705.4,51161.774
runtime_async/send_reusable_mixed_80_sync_20_async_100,v0.5.0-r1,slope,53501.171,52891.791,54175.761
runtime_async/send_reusable_mixed_80_sync_20_async_100,v0.5.0-r2,slope,47796.857,47006.932,48878.064
runtime_async/send_reusable_mixed_80_sync_20_async_100,v0.5.0-r3,slope,71264.57,70795.604,71955.247
runtime_async/send_reusable_pending_once_100,v0.5.0-r1,slope,66999.611,66208.168,67838.75
runtime_async/send_reusable_pending_once_100,v0.5.0-r2,slope,63575.021,62911.201,64314.716
runtime_async/send_reusable_pending_once_100,v0.5.0-r3,slope,82134.76,81654.221,82731.803
runtime_async/send_reusable_ready_100,v0.5.0-r1,slope,53197.371,52687.101,53698.537
runtime_async/send_reusable_ready_100,v0.5.0-r2,slope,49576.031,48437.258,50614.455
runtime_async/send_reusable_ready_100,v0.5.0-r3,slope,69527.427,69160.212,70020.372
runtime_async/send_reusable_wake_storm_independent_100,v0.5.0-r1,slope,34210.924,33844.775,34592.439
runtime_async/send_reusable_wake_storm_independent_100,v0.5.0-r2,slope,30753.033,30665.263,30852.15
runtime_async/send_reusable_wake_storm_independent_100,v0.5.0-r3,slope,46922.39,46730.033,47108.269
runtime_sync/local_fresh_bound_100,v0.5.0-r1,slope,60185.647,59549.993,60850.872
runtime_sync/local_fresh_bound_100,v0.5.0-r2,slope,59234.831,58414.798,60104.906
runtime_sync/local_fresh_bound_100,v0.5.0-r3,slope,58401.742,56724.6,60524.841
runtime_sync/local_fresh_named_100,v0.5.0-r1,slope,66831.869,65884.173,67938.795
runtime_sync/local_fresh_named_100,v0.5.0-r2,slope,57752.081,57534.119,58015.232
runtime_sync/local_fresh_named_100,v0.5.0-r3,slope,60964.952,60325.958,61729.168
runtime_sync/local_reusable_bound_100,v0.5.0-r1,slope,53857.216,53170.637,54623.273
runtime_sync/local_reusable_bound_100,v0.5.0-r2,slope,48476.718,47665.944,49655.684
runtime_sync/local_reusable_bound_100,v0.5.0-r3,slope,48245.771,47791.043,48779.326
runtime_sync/local_reusable_named_100,v0.5.0-r1,slope,58793.81,58150.597,59458.315
runtime_sync/local_reusable_named_100,v0.5.0-r2,slope,54078.957,52887.766,55215.343
runtime_sync/local_reusable_named_100,v0.5.0-r3,slope,53647.505,53261.93,54112.286
runtime_sync/local_reusable_renderer_frame_bound_100,v0.5.0-r1,slope,64232.293,63385.233,65245.577
runtime_sync/local_reusable_renderer_frame_bound_100,v0.5.0-r2,slope,61577.394,60483.809,62703.093
runtime_sync/local_reusable_renderer_frame_bound_100,v0.5.0-r3,slope,57937.517,57487.661,58454.869
runtime_sync/local_reusable_renderer_frame_named_100,v0.5.0-r1,slope,68428.876,67596.265,69392.109
runtime_sync/local_reusable_renderer_frame_named_100,v0.5.0-r2,slope,66980.707,65827.273,68237.882
runtime_sync/local_reusable_renderer_frame_named_100,v0.5.0-r3,slope,62384.067,61976.459,62830.262
runtime_sync/send_fresh_bound_100,v0.5.0-r1,slope,61812.181,61287.651,62405.309
runtime_sync/send_fresh_bound_100,v0.5.0-r2,slope,65515.877,64350.103,66744.573
runtime_sync/send_fresh_bound_100,v0.5.0-r3,slope,56939.395,56179.315,57942.18
runtime_sync/send_fresh_named_100,v0.5.0-r1,slope,67369.406,66532.652,68389.274
runtime_sync/send_fresh_named_100,v0.5.0-r2,slope,63575.825,62512.451,64537.564
runtime_sync/send_fresh_named_100,v0.5.0-r3,slope,60864.07,60302.498,61511.108
runtime_sync/send_reusable_bound_100,v0.5.0-r1,slope,54125.81,53506.395,54866.143
runtime_sync/send_reusable_bound_100,v0.5.0-r2,slope,49127.156,48223.621,50357.414
runtime_sync/send_reusable_bound_100,v0.5.0-r3,slope,49293.537,48969.653,49651.984
runtime_sync/send_reusable_named_100,v0.5.0-r1,slope,58743.035,57979.757,59522.627
runtime_sync/send_reusable_named_100,v0.5.0-r2,slope,59171.605,58106.777,60243.251
runtime_sync/send_reusable_named_100,v0.5.0-r3,slope,60403.798,59922.387,60963.702
