workload,round,estimator,point_estimate_ns,lower_bound_ns,upper_bound_ns
runtime_sync/diagnostic_b_scalar_chain_fresh_bound_100,v0.5.1-e01-diag-r3,slope,41562.187,41288.78,41839.982
runtime_sync/diagnostic_b_scalar_chain_reusable_bound_100,v0.5.1-e01-diag-r1,slope,48087.018,46383.321,49667.873
runtime_sync/diagnostic_b_scalar_chain_reusable_bound_100,v0.5.1-e01-diag-r2,slope,35372.517,35054.536,35726.257
runtime_sync/diagnostic_b_scalar_chain_reusable_bound_100,v0.5.1-e01-diag-r3,slope,34898.614,34578.861,35264.352
runtime_sync/diagnostic_c_fanout_fanin_many_fresh_bound_100,v0.5.1-e01-diag-r1,slope,67338.392,65671.809,69635.171
runtime_sync/diagnostic_c_fanout_fanin_many_fresh_bound_100,v0.5.1-e01-diag-r2,slope,61823.276,61352.765,62322.266
runtime_sync/diagnostic_c_fanout_fanin_many_fresh_bound_100,v0.5.1-e01-diag-r3,slope,61638.737,61089.449,62248.733
runtime_sync/diagnostic_c_fanout_fanin_many_reusable_bound_100,v0.5.1-e01-diag-r1,slope,55810.43,55403.012,56232.528
runtime_sync/diagnostic_c_fanout_fanin_many_reusable_bound_100,v0.5.1-e01-diag-r2,slope,55491.914,55069.629,55949.36
runtime_sync/diagnostic_c_fanout_fanin_many_reusable_bound_100,v0.5.1-e01-diag-r3,slope,54800.646,54417.703,55255.382
runtime_sync/diagnostic_d_independent_ready_send_inline_reusable_100,v0.5.1-e01-diag-r1,slope,26563.853,26252.867,26970.309
runtime_sync/diagnostic_d_independent_ready_send_inline_reusable_100,v0.5.1-e01-diag-r2,slope,27030.099,26900.642,27167.299
runtime_sync/diagnostic_d_independent_ready_send_inline_reusable_100,v0.5.1-e01-diag-r3,slope,26043.87,25857.245,26255.151
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_1_reusabl,v0.5.1-e01-diag-r1,slope,50711.522,50425.877,50999.899
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_1_reusabl,v0.5.1-e01-diag-r2,slope,50552.99,50149.569,51095.947
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_1_reusabl,v0.5.1-e01-diag-r3,slope,51647.386,51205.503,52170.777
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_8_reusabl,v0.5.1-e01-diag-r1,slope,65901.127,65569.552,66262.089
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_8_reusabl,v0.5.1-e01-diag-r2,slope,65920.451,65605.187,66264.945
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_8_reusabl,v0.5.1-e01-diag-r3,slope,66156.655,65759.222,66726.093
